layer,accuracy,precision,recall,f1,auroc
0,0.5,0.0,0.0,0.0,0.5
1,0.4742268041237113,0.2727272727272727,0.030927835051546393,0.05555555555555555,0.48076309916037835
2,0.5,0.5,1.0,0.6666666666666666,0.5
3,0.5,0.5,1.0,0.6666666666666666,0.5
4,0.5309278350515464,0.5161290322580645,0.9896907216494846,0.6784452296819788,0.5539377192050166
5,0.5,0.5,1.0,0.6666666666666666,0.5
6,0.4896907216494845,0.4880952380952381,0.422680412371134,0.4530386740331492,0.5064831544266128
7,0.4845360824742268,0.3333333333333333,0.030927835051546393,0.05660377358490566,0.39270910830056327
8,0.5,0.5,0.9896907216494846,0.6643598615916955,0.49495164204485065
9,0.5,0.5,1.0,0.6666666666666666,0.5
10,0.4948453608247423,0.49740932642487046,0.9896907216494846,0.6620689655172414,0.4948453608247423
11,0.5154639175257731,0.5079365079365079,0.9896907216494846,0.6713286713286714,0.5155701987458816
12,0.5979381443298969,0.5620915032679739,0.8865979381443299,0.688,0.6125518120948028
13,0.5360824742268041,0.5187165775401069,1.0,0.6830985915492958,0.5567010309278351
14,0.7164948453608248,0.7142857142857143,0.7216494845360825,0.717948717948718,0.7827611860984164
15,0.5773195876288659,0.5449101796407185,0.9381443298969072,0.6893939393939394,0.5757253693272398
16,0.5257731958762887,0.5135135135135135,0.979381443298969,0.6737588652482269,0.5413965352322245
17,0.5,0.5,1.0,0.6666666666666666,0.4948453608247423
18,0.5,0.5,1.0,0.6666666666666666,0.5
19,0.5,0.5,1.0,0.6666666666666666,0.5
20,0.5,0.5,1.0,0.6666666666666666,0.5
21,0.5,0.5,1.0,0.6666666666666666,0.5
22,0.5,0.5,1.0,0.6666666666666666,0.5
23,0.5103092783505154,0.5052083333333334,1.0,0.671280276816609,0.5309278350515464
24,0.520618556701031,0.5105263157894737,1.0,0.6759581881533101,0.5257731958762887
25,0.5,0.5,1.0,0.6666666666666666,0.5
26,0.5,0.5,1.0,0.6666666666666666,0.5051546391752577
27,0.5051546391752577,0.5025906735751295,1.0,0.6689655172413793,0.5103092783505154
28,0.5,0.5,1.0,0.6666666666666666,0.5
29,0.5,0.5,1.0,0.6666666666666666,0.5
30,0.5,0.5,1.0,0.6666666666666666,0.5
31,0.5,0.5,1.0,0.6666666666666666,0.5
